file,speed_mps,Tc_meas_s,Tc_theory_s,Tc_ratio,Tstar_s,regret_fixed_dB,Bc_MHz,srs_snr_dB,avg_win_ms,n_samples
20260825_1552_E001,0.02,0.74,1.68,0.44,0.9362,1.977,8.64,15.8,100,52194
20260825_1615_E002,0.05,0.38,0.672,0.565,0.4823,2.0,10.8,10.1,100,54545
20260825_1637_E003,0.1,0.2,0.336,0.595,0.309,1.87,10.08,6.3,100,56354
20260825_1700_E004,0.2,0.14,0.168,0.833,0.1566,2.35,10.44,4.5,100,57048
20260826_1120_E005.rb.jsonl.gz,0.3,0.1,0.112,0.893,0.1239,1.684,15.84,5.2,100,54001
20260826_1252_E006,0.4,0.08,0.084,0.952,0.0791,1.67,11.88,1.8,100,56248
20260826_1315_E007,0.5,0.08,0.0672,1.19,0.0629,1.553,10.08,2.6,100,55226
20260826_1450_E0022,0.05,0.41,0.672,0.61,0.779,1.163,15.48,8.7,40,109251
20260826_1511_E0066,0.4,0.07,0.084,0.833,0.1105,1.097,14.4,2.6,40,109156
20260826_1533_E0077,0.5,0.06,0.0672,0.893,0.0864,0.922,13.68,2.2,40,108467
20260826_1554_E0044,0.2,0.11,0.168,0.655,0.1801,1.426,14.4,2.0,40,109468
20260827_0950_E0033,0.1,0.18,0.336,0.536,0.2323,1.563,11.52,4.4,40,113873
20260827_1012_E0055,0.3,0.08,0.112,0.714,0.1107,1.704,11.16,3.9,40,110705
20260827_1135_test,0.0,0.6,,,10.5348,0.0,10.44,17.3,40,4215
20260827_1439_E0066,0.4,0.1,0.084,1.19,0.0871,2.384,15.48,2.2,40,113626
20260827_1524_E0066,0.4,0.07,0.084,0.833,0.0868,1.405,14.4,3.6,40,111732
20260827_1558_E0005,0.3,0.1,0.112,0.893,0.0989,1.227,14.4,3.4,40,54736
20260831_1320_E000,0.0,24.6338,,,412.065,0.365,4.32,20.6,40,82409
20260831_1449_E00666,0.4,0.0679,0.084,0.808,0.1297,1.478,10.08,4.1,40,57425
20260831_1511_E00666,0.4,0.0883,0.084,1.051,0.2517,1.289,15.84,3.2,40,54125
20260831_1540_E005_NLOS,0.4,0.091,0.084,1.083,0.1149,1.462,11.16,3.2,40,32396
20260831_1613_E005_NLOS,0.3,0.0897,0.112,0.801,0.1472,1.455,14.04,2.2,40,56973
20260902_1607_E000,0.0,2.6302,,,129.82,0.48,2.52,9.8,40,33860
20260903_1034_E000,0.0,8.7878,,,345.4998,0.093,,19.3,40,69101
20260903_1107_E000,0.0,13.2499,,,23.0513,0.952,,16.3,40,53326
20260903_1134_E000,0.0,11.619,,,13.3022,1.432,13.32,13.1,40,51788
20260915_1113_E_Multiple_01,999420000020049,0.1,31.2221,0.336,92.923,45.1191,0.739,,7.8,40,71568
20260915_1113_E_Multiple_01,999420000020051,0.1,2.7829,0.336,8.282,341.9447,0.21,,13.5,40,67343
20260915_1113_E_Multiple_01,999420000020052,0.1,0.2469,0.336,0.735,0.5004,1.456,12.24,6.0,40,65744
20260923_1348_E00x_test,999420000020052,0.0,0.3109,,,5.1558,0.339,5.76,10.4,40,2765
20260923_1354_E00x_test,999420000020049,0.0,1.2842,,,7.3495,1.034,15.84,8.0,40,1311
20260923_1354_E00x_test,999420000020051,0.0,1.1335,,,1.0642,0.759,16.92,7.2,40,1168
20260923_1354_E00x_test,999420000020052,0.0,0.7092,,,11.235,0.447,10.08,10.2,40,2243
20260923_1445_E005_NLOS_multi,999420000020049,0.3,,0.112,,282.0103,0.244,,14.0,40,53511
20260923_1445_E005_NLOS_multi,999420000020051,0.3,0.0681,0.112,0.608,0.1233,2.027,,-0.7,40,54720
20260923_1445_E005_NLOS_multi,999420000020052,0.3,,0.112,,210.6096,0.163,6.12,9.6,40,53946
20260924_1619_E005_NLOS_multi,999420000020049,0.3,10.1596,0.112,90.711,0.0871,1.271,,11.0,40,20020
20260924_1619_E005_NLOS_multi,999420000020051,0.3,0.0988,0.112,0.882,0.0936,1.783,,1.8,40,52734
20260924_1619_E005_NLOS_multi,999420000020052,0.3,12.0998,0.112,108.034,165.5803,0.186,,11.2,40,27475
20260924_1619_E005_NLOS_multi,unknown-rnti-0x4903,0.3,2.509,0.112,22.402,0.2838,1.109,15.48,4.9,40,4737
20260924_1619_E005_NLOS_multi,unknown-rnti-0x4904,0.3,14.3255,0.112,127.906,66.985,0.176,3.24,10.2,40,13398
20260924_1619_E005_NLOS_multi,unknown-rnti-0x4908,0.3,0.3711,0.112,3.314,7.61,0.129,8.28,10.1,40,1523
20260924_1619_E005_NLOS_multi,unknown-rnti-0x4909,0.3,0.1014,0.112,0.905,0.1206,1.51,,-1.6,40,2689
20260924_1619_E005_NLOS_multi,unknown-rnti-0x490a,0.3,0.0383,0.112,0.342,0.9313,0.509,0.36,5.9,40,374
20260924_1619_E005_NLOS_multi,unknown-rnti-0x490b,0.3,0.7913,0.112,7.065,0.7518,0.847,,7.5,40,479
20260924_1619_E005_NLOS_multi,unknown-rnti-0x490c,0.3,0.3008,0.112,2.686,0.1706,1.33,,9.0,40,315
20260925_1123_E005_NLOS_multi,40c0000032,0.1,0.0953,0.336,0.284,0.1433,1.406,13.32,3.0,40,64543
20260925_1123_E005_NLOS_multi,40c000003d,0.1,5.1779,0.336,15.41,151.795,0.07,,16.0,40,30360
20260925_1123_E005_NLOS_multi,40c0000373,0.1,1.1212,0.336,3.337,127.54,0.066,,16.1,40,25509
20260925_1123_E005_NLOS_multi,40c00005b4,0.1,0.3964,0.336,1.18,128.6594,0.459,,3.5,40,39756
20260925_1123_E005_NLOS_multi,unknown-rnti-0x4602,0.1,0.071,0.336,0.211,0.79,0.295,,10.7,40,159
20260925_1349_E005_NLOS_multi,40c00001a8,0.3,0.5561,0.112,4.965,1.2665,0.378,0.36,6.3,40,17313
20260925_1349_E005_NLOS_multi,40c00002f9,0.3,0.1487,0.112,1.328,1.295,0.187,8.64,9.8,40,260
20260925_1349_E005_NLOS_multi,40c00004a4,0.3,0.3108,0.112,2.775,0.0493,1.004,16.2,1.8,40,999
20260925_1349_E005_NLOS_multi,40c00004be,0.3,5.1213,0.112,45.726,0.0544,1.364,,3.0,40,3255
20260925_1349_E005_NLOS_multi,40c00005b7,0.3,0.3065,0.112,2.737,0.0698,2.012,,3.9,40,8971
20260925_1349_E005_NLOS_multi,40c00007f8,0.3,0.0868,0.112,0.775,0.122,1.543,,3.8,40,18979
20260925_1349_E005_NLOS_multi,unknown-rnti-0x4603,0.3,0.0604,0.112,0.539,0.79,0.302,15.84,9.4,40,159
20260925_1349_E005_NLOS_multi,unknown-rnti-0x4606,0.3,0.0228,0.112,0.204,0.0713,0.747,0.36,3.4,40,107
20260925_1409_E005_NLOS_multi,40c000016a,0.3,0.1986,0.112,1.773,0.0853,1.063,16.92,1.4,40,283
20260925_1409_E005_NLOS_multi,40c00002cf,0.3,8.6444,0.112,77.182,0.162,1.179,,6.2,40,2469
20260925_1409_E005_NLOS_multi,40c00003ae,0.3,0.072,0.112,0.643,0.1274,1.215,0.36,5.1,40,5490
20260925_1409_E005_NLOS_multi,40c0000440,0.3,0.0217,0.112,0.193,0.0513,0.69,0.36,2.3,40,62
20260925_1409_E005_NLOS_multi,40c00005b7,0.3,2.7184,0.112,24.271,20.215,0.111,3.6,9.0,40,4041
20260925_1409_E005_NLOS_multi,40c000062b,0.3,0.3784,0.112,3.379,0.0917,0.812,,4.1,40,1170
20260925_1409_E005_NLOS_multi,40c0000726,0.3,0.0328,0.112,0.293,0.1855,0.139,0.36,4.5,40,335
20260925_1409_E005_NLOS_multi,40c00007d5,0.3,0.4138,0.112,3.694,0.2101,0.766,,4.9,40,1472
20260925_1409_E005_NLOS_multi,unknown-rnti-0x4603,0.3,0.0188,0.112,0.168,0.785,0.332,0.36,5.7,40,158
